product_id,product_name,category,price,cost,stock_quantity,reorder_level
1,Wireless Headphones 001,Electronics,513.34,184.80,2253,225
2,Throw Pillow 002,Home,199.69,81.04,839,83
3,Fleece Hoodie 003,Apparel,542.97,383.81,712,71
4,Jump Rope 004,Sports,474.44,172.09,767,76
5,Nail Kit 005,Beauty,178.82,98.73,217,21
6,Organic Coffee 006,Grocery,451.18,287.13,4464,446
7,Puzzle Set 007,Toys,338.51,179.30,2278,227
8,History Guide 008,Books,648.49,228.66,1307,130
9,Smart Watch 009,Electronics,560.01,272.22,1273,127
10,Kitchen Towels 010,Home,176.17,115.46,837,83
11,Cotton T-Shirt 011,Apparel,78.73,30.60,2817,281
12,Resistance Bands 012,Sports,484.96,326.31,3763,376
13,Shampoo Bottle 013,Beauty,431.30,318.84,3100,310
14,Herbal Tea 014,Grocery,67.65,31.61,2962,296
15,Plush Animal 015,Toys,463.99,293.16,375,37
16,Paperback Novel 016,Books,530.70,349.85,653,65
17,USB-C Hub 017,Electronics,684.97,477.15,3113,311
18,LED Desk Lamp 018,Home,225.99,136.56,2988,298
19,Baseball Cap 019,Apparel,134.31,66.10,2187,218
20,Dumbbell Pair 020,Sports,562.94,350.95,584,58
21,Face Moisturizer 021,Beauty,489.25,204.73,2005,200
22,Granola Mix 022,Grocery,134.90,67.69,4562,456
23,Remote Car 023,Toys,179.59,86.15,458,45
24,Kids Storybook 024,Books,187.09,67.88,2584,258
25,Laptop Stand 025,Electronics,323.92,121.95,4646,464
26,Ceramic Mug Set 026,Home,701.70,333.92,4089,408
27,Running Shorts 027,Apparel,319.52,228.72,3758,375
28,Water Bottle 028,Sports,118.58,48.13,4598,459
29,Body Lotion 029,Beauty,433.48,281.24,3509,350
30,Trail Mix 030,Grocery,718.76,366.40,1796,179
31,Building Blocks 031,Toys,797.86,323.40,4042,404
32,Cookbook 032,Books,77.27,28.50,898,89
33,Bluetooth Speaker 033,Electronics,126.51,52.37,3458,345
34,Storage Bin 034,Home,479.14,241.44,4881,488
35,Crew Socks 035,Apparel,796.91,447.58,4532,453
36,Yoga Mat 036,Sports,689.31,244.42,938,93
37,Lip Balm Pack 037,Beauty,546.95,308.91,2185,218
38,Olive Oil 038,Grocery,616.03,299.43,2404,240
39,Board Game 039,Toys,350.63,186.36,2157,215
40,Productivity Journal 040,Books,777.64,509.19,4158,415
41,Wireless Headphones 041,Electronics,730.53,510.06,2444,244
42,Throw Pillow 042,Home,674.12,372.83,1629,162
43,Fleece Hoodie 043,Apparel,126.51,82.86,4418,441
44,Jump Rope 044,Sports,763.02,548.59,4,5
45,Nail Kit 045,Beauty,481.15,262.44,916,91
46,Organic Coffee 046,Grocery,743.62,521.64,2519,251
47,Puzzle Set 047,Toys,195.36,87.20,4647,464
48,History Guide 048,Books,757.82,291.20,3981,398
49,Smart Watch 049,Electronics,653.73,484.54,4363,436
50,Kitchen Towels 050,Home,613.83,246.36,3893,389
