order_id,customer_id,order_date,product_id,quantity,unit_price,total_amount,order_status,payment_date
1,9551,2026-01-11,322,1,671.44,671.44,Completed,2026-01-14
2,1397,2024-12-31,47,5,184.17,920.85,Completed,2025-01-01
3,6984,2023-08-07,208,3,28.40,85.20,Pending,
4,8764,2023-02-12,25,1,299.46,299.46,Completed,2023-02-14
5,7648,2023-09-16,225,4,14.00,56.00,Completed,2023-09-19
6,1595,2023-07-08,200,2,13.82,27.64,Completed,2023-07-08
7,551,2026-01-05,10,2,163.34,326.68,Completed,2026-01-10
8,7725,2025-08-30,441,3,572.88,1718.64,Completed,2025-09-02
9,8990,2023-07-06,139,4,255.07,1020.28,Completed,2023-07-10
10,5999,2023-04-08,258,1,473.83,473.83,Completed,2023-04-10
11,1756,2024-01-29,90,5,372.54,1862.70,Completed,2024-02-04
12,3174,2023-08-20,437,4,377.96,1511.84,Completed,2023-08-21
13,2284,2024-02-26,306,5,370.90,1854.50,Completed,2024-02-27
14,864,2025-01-13,79,4,212.11,848.44,Completed,2025-01-13
15,6285,2023-12-24,401,4,726.31,2905.24,Completed,2023-12-29
16,2623,2025-03-16,443,2,33.68,67.36,Completed,2025-03-21
17,4565,2026-05-17,254,4,32.82,131.28,Pending,
18,1512,2023-04-20,153,3,574.42,1723.26,Completed,2023-04-23
19,6306,2024-07-31,174,2,323.72,647.44,Completed,2024-08-02
20,3343,2025-05-18,226,2,43.14,86.28,Completed,2025-05-25
21,6292,2025-09-13,382,2,510.70,1021.40,Cancelled,
22,6388,2023-01-25,38,4,561.10,2244.40,Completed,2023-01-29
23,5828,2024-08-25,385,3,357.33,1071.99,Completed,2024-08-27
24,709,2023-10-29,185,5,184.41,922.05,Completed,2023-11-03
25,4735,2024-04-14,310,4,134.04,536.16,Completed,2024-04-21
26,1362,2024-08-17,317,4,315.90,1263.60,Completed,2024-08-24
27,3640,2025-02-17,36,1,644.95,644.95,Completed,2025-02-22
28,3843,2023-07-08,455,5,613.83,3069.15,Completed,2023-07-09
29,5210,2023-02-16,144,2,476.44,952.88,Pending,
30,4279,2025-12-10,110,4,243.11,972.44,Completed,2025-12-16
31,8980,2025-12-15,14,5,68.39,341.95,Completed,2025-12-20
32,5772,2026-07-21,258,2,433.21,866.42,Completed,2026-07-28
33,6113,2025-09-16,392,5,653.27,3266.35,Completed,2025-09-20
34,2179,2023-04-29,179,3,116.76,350.28,Completed,2023-05-03
35,3490,2025-04-06,197,5,570.21,2851.05,Completed,2025-04-10
36,9588,2025-07-16,254,5,33.59,167.95,Completed,2025-07-22
37,7885,2025-11-13,475,2,491.69,983.38,Completed,2025-11-14
38,5465,2025-06-18,272,1,338.70,338.70,Completed,2025-06-22
39,6114,2024-03-31,56,1,205.96,205.96,Completed,2024-04-02
40,4644,2026-02-26,212,4,63.14,252.56,Completed,2026-02-28
41,7605,2023-02-11,173,2,642.04,1284.08,Completed,2023-02-11
42,2407,2026-06-08,373,5,255.14,1275.70,Completed,2026-06-14
43,3122,2025-09-22,163,1,193.40,193.40,Completed,2025-09-27
